id	headline	url	bias_horizontal	bias_vertical	country	source	dominant_emotion	intensity	cause	experiencer	target	cue	other_emotions	reader_emotions
7d3fe468	Cops in One Village Have Been Convicted of 70 Crimes. Here’s What They Had to Say About It.	http://tracking.feedpress.it/link/9499/12677255	-5	46	US	ProPublica	anger	medium	"[[""cops in one village have been convicted of 70 crimes""]]"	"[[""cops""]]"	"[[""cops in one village have been convicted of 70 crimes""]]"	"[[""convicted""]]"	annoyance	annoyance
86693d59	DIY penis enlargements are a 'nationwide problem' in Papua New Guinea	https://www.dailymail.co.uk/news/article-6914975/DIY-penis-enlargements-nationwide-problem-Papua-New-Guinea.html?ns_mchannel=rss&ns_campaign=1490&ito=1490	13	19	UK	dailymail	negative_surprise	medium	"[[""diy penis enlargements are a 'nationwide problem'""]]"	"[[""papua new guinea""]]"	"[[""diy penis enlargements are a 'nationwide problem'""]]"	"[[""problem""]]"	negative_surprise	no_i_did_not_feel_any_emotion
0fb40e90	Dam breaking: New Epstein accuser comes forward	https://hotair.com/archives/ed-morrissey/2019/07/10/dam-breaking-new-epstein-accuser-comes-forward/			US	HotAir	anger	medium	"[[""new epstein accuser comes forward""]]"	[[]]	"[[""new epstein accuser comes forward""]]"	"[[""accuser""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
fa7750d6	David Beckham gets six-month driving ban for using phone at wheel	https://www.theguardian.com/football/2019/may/09/david-beckham-gets-six-month-driving-ban-for-using-phone-at-wheel	-6	48	UK	TheGuardian	negative_surprise	medium	"[[""gets six-month driving ban for using phone at wheel""]]"	"[[""david beckham""]]"	"[[""driving ban""]]"	"[[""ban""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
695ea7a2	Dead sea turtle found with spear through head in Florida national park	https://www.foxnews.com/science/sea-turtle-spear-head-florida-national-park	27	20	US	FoxNews	sadness	medium	"[[""dead sea turtle found with spear through head in florida national park""]]"	"[[""florida national park""]]"	"[[""dead sea turtle found with spear through head in florida national park""]]"	"[[""dead""]]"	no_other_additional_emotions_are_expressed	sadness
40d09915	Democrats defend Congresswomen Trump says should “go back” to their “corrupt” countries	https://www.vox.com/2019/7/14/20693758/donald-trump-tweets-racist-xenophobic-aoc-omar-tlaib-pressley-back-countries	-16	43	US	Vox	disgust	medium	"[[""go back” to their “corrupt” countries""]]"	"[[""democrats""]]"	"[[""trump""]]"	"[[""defend""]]"	annoyance	annoyance
06baecb6	Detention centres 'will shock the conscience of this country'	https://www.bbc.co.uk/news/world-us-canada-48795497	-3	54	UK	BBC	negative_surprise	medium	"[[""'will shock the conscience of this country'""]]"	"[[""detention centres""]]"	"[[""'will shock the conscience of this country'""]]"	"[[""shock""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
6aa1523d	Don McGahn fires back at Donald Trump	https://www.palmerreport.com/analysis/don-mcgahn-fires-back-d-trump/18681/	-34	8	US	PalmerReport	negative_surprise	medium	"[[""donald trump""]]"	"[[""don mcgahn""]]"	"[[""don mcgahn"",""donald trump""]]"	"[[""fires""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
e3cffb3b	Donald Trump even has lies hiding in the underpants of the secret service | First Dog on the Moon	https://www.theguardian.com/commentisfree/2019/may/03/donald-trump-even-has-lies-hiding-in-the-underpants-of-the-secret-service	-6	48	UK	TheGuardian	negative_surprise	medium	"[[""even has lies hiding in the underpants of the secret service""]]"	"[[""donald trump""]]"	[[]]	"[[""has lies hiding""]]"	annoyance	annoyance
adaf8300	Donald Trump has crazed meltdown in White House driveway	https://www.palmerreport.com/analysis/driveway-meltdown-white-house-trump-don/18311/	-34	8	US	PalmerReport	negative_surprise	medium	"[[""has crazed meltdown in white house driveway""]]"	"[[""donald trump""]]"	[[]]	"[[""has crazed""]]"	no_other_additional_emotions_are_expressed	no_i_did_not_feel_any_emotion
