,domain,avg_score,sentence,group
0,news,-0.6,Tang was employed at private-equity firm Friedman Fleischer & Lowe.,train
1,news,1.0,"San Francisco Mayor Gavin Newsom's withdrawal from the governor's race followed a meeting with top advisers where he was told that, unless he raised $5 million quickly and appeared to be viable, some of the state's biggest unions would throw their support behind Attorney General Jerry Brown.",train
2,answers,-2.8,lol nothing worrying about that.,train
3,news,0.0,"She told Price she wanted to join the Police Explorers, a Boy Scouts group that lets boys and girls learn law enforcement with local police.",train
4,news,1.8,"The prime minister is keen to use the autumn pre-budget statement to announce a new ""fiscal stimulus"", with billions of pounds of extra money for housing, infrastructure projects and training.",train
5,blog,1.0,"Those competencies include mastering fundamental legal skills, support of the firm's culture, demonstration of leadership and business skills, and understanding and effectively managing client needs.",train
6,news,0.8,His platform contains plans to fund drainage projects.,train
7,answers,-1.8,"""It's a start.""",train
8,news,0.6,"""She is not asking for anything over the top, just to be able to find her daughter and let her know she loves her.""",train
9,news,0.8,Justice Dinakaran had maintained that he had not acquired an inch of land since his appointment as a judge of HC and even called the collector's report motivated.,train
10,news,0.8,"Kirk has given few speeches, limited his press releases to a few nuts-and-bolts issues, and shunned almost all requests for interviews.",train
11,news,0.0,"""You never know. Miracles happen,"" she said.",train
12,news,0.8,"Some evidence indicates they have spent at least some of the past 14 years in Mexico, a country that has shown itself as a haven for hiding American kids.",train
13,news,0.4,Martina Metzler peers at the piles of paper strips spread across four desks in her office.,train
14,news,1.4,"The shares, which traded at more than $61 each in February 2007, have declined 84 percent this year.",train
15,answers,-2.75,constently... I work at a Radio Station.,train
16,answers,-1.2,he's being too overprotetive and annoying.,train
17,email,2.2,The $30 million lost in Governor Bush's budget request 02-03 was slated for consumers on the wait list.,train
18,email,0.0,"Don't sell your role short---teachers like you matter in a world where today's Cecilia story goes like this: ""Mom, Miss Summas upped and decided she'd add 10 points to everybody's test grade since most of the class did so poorly on it.",train
19,answers,0.6,The Sony Cybershots are my favorite.,train
20,blog,-1.0,I know I'm gonna end up (going to court).,train
21,answers,1.0,HISTORY OF STYLES Ancient World.,train
22,email,0.6,"Its allmost like there is more at stake here than what we can see in the natural, and more of a spiritual conatation.",train
23,blog,0.6,"""Our combat related trophies are in there to help people learn advanced tactics. People might not know about Steel Fist [finishing off a foe with one punch] or shield takedowns until they go in and read the trophy list.""",train
24,email,1.2,I have tried everything possible to attract business.,train
25,answers,-1.2,Never heard that one before.,train
26,blog,-2.0,"""Yup.""",train
27,answers,-2.0,well it depends on that girl.,train
28,answers,0.4,What do you think you should do?,train
29,news,0.4,This in a district in which Democrats have an 18-point advantage over Republicans in registered voters.,train
30,email,-1.25,The little girl is doing so well!,train
31,answers,-0.8,Order an electronic pizza by e - mail.,train
32,answers,1.2,That's how we pass our traits to the next generation: through DNA,train
33,news,1.2,"""Rates are very low and it wants to get up to a more normal level as quickly as possible. It's better to announce a big hike now than wait until rates are higher and then jack rates up.""",train
34,answers,0.0,Maybe it will be of some help!,train
35,news,0.4,"""Nato operations have destroyed a lot of equipment belonging to poor fishermen... they illegally transfer the fishermen to their own prisons and prisons of other [foreign] countries.""",train
36,answers,1.8,Wedding rituals differ in different regions and communities in India.,train
37,news,0.4,"Talks were going nowhere last week, prompting Clinton to get on the phone to both Micheletti and Zelaya to insist in what was described as blunt language that they close the gap preventing an agreement.",train
38,blog,-0.8,"Help us, Olympia Snowe, you're our only hope!",train
39,news,-0.8,It came off like a generational anthem:,train
40,news,1.0,The Maoists also killed 31 police officers from other nearby outposts in attacks in February and May.,train
41,news,0.2,"""There is no more bitter song than the nonrecognition of elections,"" she said, ""and that was enough to really worry us.""",train
42,blog,-1.4,"Related searches for [taco dog costume], [dog shark costume] and [banana costume] (so cute!) all rank high.",train
43,news,2.0,"With police officers dying in large numbers and Maoists carrying out bolder attacks, the debate around the insurgency has sharpened in India's intellectual salons and on the opinion pages and talk shows.",train
44,answers,0.4,"Nope, you have to fix your excessive moisture problem.",train
45,news,0.6,"""Oiled birds need to get onshore because they lose their insulation.""",train
46,answers,-0.2,"Best advice is to ""never dip your Quill in the company ink.""",train
47,news,1.8,"Evan Harris, another Liberal Democrat member of the science and technology select committee, said: ""The political sacking of a distinguished scientist, who is the chair of an independent scientific advisory committee, for the 'crime' of having different views than the secretary of state, is an enormous blow to the credibility of the government's approach to scientific evidence.""",train
48,answers,-0.2,There is no real difference.,train
49,blog,1.2,"Studnitz has since learned that an unspecified error in the FBI's National Criminal Information Center database was the cause for the SSA's initial determination that she was ""unsuitable.",train
50,news,0.4,It ... is used as a pretext ... that prevents the re-establishment of negotiations.,train
51,blog,-0.2,"""There was a tester we had who came in and was constantly describing Drake as going into 'beast mode,'"" said Minkoff, a designer on Uncharted 2.",train
52,email,-0.25,My 13-year - old daughter remained in a semi - catatonic state until saw her father again.,train
53,answers,0.0,They usually have help like that.,train
54,blog,0.4,"""There were big arguments over here about how to handle that,"" Minkoff said.",train
55,email,0.0,They're not having much success with limited resurces.,train
56,answers,-2.0,until now:) This is the story of Rindercella and her sugly isters.,train
57,news,1.4,"Arreola noticed that the streets were suspiciously quiet, no vehicle traffic or kids playing.",train
58,answers,-2.2,HE LEFT THE YEAR I LEFT SO ITS ALL GOOD!,train
59,email,0.2,I still would like to see Tim appointed to that post.,train
60,email,1.75,Keep up the good work and if we may be of any assistance to you please let us know.,train
61,answers,-2.4,i can't.,train
62,answers,0.6,"Somewhere along the line, things went really wrong in your home.",train
63,answers,1.2,"Foreman studies her eyes, noticing yellow in the sclera.",train
64,news,1.4,"""Basically, he was told what needed to be done and that it was up to him to do it,"" said one person who was there.",train
65,blog,-0.8,One is sad and one is kinda funny/effective.,train
66,blog,-1.2,"I replied, ""Oh, I know.""",train
67,answers,1.8,Mitosis is the even division of DNA into two daughter cells.,train
68,email,0.6,"Sally, please make sure that Phil is on our guest list.",train
69,news,0.8,"The country is facing lot of threats from within and outside and foreign forces were indulged in large scale religious conversion in the country with an aim to finish India's strength of embracing all faiths of the world, he said.",train
70,answers,-2.8,i am but i have mates who don't take muckers and still love trance,train
71,answers,-1.6,Stale McDonald's French fries.,train
72,email,0.25,Support our sponsors with your purchase by clicking here.,train
73,answers,-0.6,Watch out for the coaster car though.,train
74,answers,-1.6,Was I talking?,train
75,news,1.4,"However, later that afternoon, at a news conference dealing with the spill, Newsom gave a hint of what was to come when asked whether he was going to be in San Francisco for the weekend.",train
76,answers,0.0,Source: CIA Fact Book,train
77,answers,-0.6,Far Away is my favorite song from him.,train
78,answers,-1.6,the northern exposure cd series of theirs are my personal favorites.,train
79,news,0.2,The first two bodies were found Thursday night when police went to Sowell's home to arrest him on charges of felonious assault and rape.,train
80,answers,-2.6,the feeling is like... like hevan!!!!!!,train
81,answers,-2.2,that it's obvious,train
82,email,1.6,I was pleased to see of your appointment to co - chair the NGA Education Committee.,train
83,answers,-1.4,Yoga just seems like its just breathing exercises for pregnant women!,train
84,answers,-1.4,", sit in the (empty) bathtub and work with them.",train
85,news,1.2,"Indeed only two have had their sex determined, both of them being women.",train
86,answers,-0.4,I like the first one a lot more.,train
87,news,0.2,The Collegium's decision to put Justice Dinakaran's name on hold till the inquiry is completed will help scotch the feeling that the apex court responded inadequately to serious allegations against a HC Chief Justice.,train
